"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
0,"Rita Despot",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
0,"Lara Ključarić",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
0,"Kecerin Helena",1,0,0,0,1,0,0,0,0,0,0,0,0,1.000
0,"Marija Balestrin",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
0,"Lorena Mayer",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
0,"Sara Hrman",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
0,"Maja Slisko",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
0,"Rubi Despot",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,0,0,3,1,0,0,0,0,0,0,0,1.000
