"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
0,"Kora Ključarić",1,0,0,0,1.00,7,5,8,13,1,1.00,4,11.00,1.00,1,1,0,2,0,0,0.00,7.00,0.00,14.00,2,0,0,0,2.000,0.571,0.400,2,0,5,2,0.714
"","TOTALS",1,0,0,0,1.00,7,5,8,13,1,1.00,1,7.00,9.00,1,1,0,2,0,0,0.00,7.00,0.00,14.00,2,0,0,0,2.000,0.571,0.400,2,0,5,2,0.714
