"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
0,"Rita Despot",1,1,0,1,0,0,0,0,0,0,0,0.000,0,0,0,0,1,1,0,0,0,0,1.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
0,"Lara Ključarić",1,1,1,0,1,0,1,0,0,0,1,1.000,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0,0,0,0,0,1,1,1.000,100.0,100.0,100.0
0,"Kecerin Helena",1,1,1,0,1,0,1,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0,0,0,0,0,0,0,0.000,100.0,100.0,0.0
0,"Marija Balestrin",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
0,"Lorena Mayer",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
0,"Sara Hrman",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
0,"Maja Slisko",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
0,"Rubi Despot",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,8,7,1,2,0,2,0,0,0,1,0.286,0,0,3,3,1,1,0,0,0,0,0.250,0.375,0.375,0.286,0.661,0.240,0.571,0.500,0,0,0,0,0,2,1,0.500,25.0,25.0,12.5
