"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
0,"Tihana Hrženjak",1,1,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,1,0,0,0,0,0,0.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
0,"Lorena Hrman",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,1,0,0,0,0,0,0.000,0.0,0.0,0.0
0,"Mia Landripet",1,1,1,0,0,0,0,0,0,0,0,0.000,0,1,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
0,"Ema Žiger",1,1,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,1,0,0,0,0,0,0.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
0,"Mihaela Perisa",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
0,"Klara Bacic",1,1,1,1,1,0,0,1,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3.000,0.950,1.000,1.000,0,0,0,0,0,0,0,0.000,100.0,100.0,0.0
0,"Nikovic Maja",1,1,1,0,1,0,1,0,0,0,1,1.000,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0,0,0,0,0,1,1,1.000,100.0,100.0,100.0
0,"Irina Kuti",1,0,0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
"","TOTALS",1,7,5,1,2,0,1,1,0,0,1,0.400,0,1,0,1,2,0,0,0,0,0,0.286,0.571,0.571,0.600,1.171,0.407,0.800,0.571,0,1,0,0,0,2,1,0.500,28.6,28.6,14.3
