"#","Name","G","W","L","SV","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","GO","AO","FPS","FPB","FPS%"
0," Eleonora Toth",1,0,0,0,2.67,25,49,37,86,12,4.50,12,31.50,40.50,2,1,1,8,8,0,0.25,5.25,21.00,21.00,2,0,1,0,6.000,0.720,0.571,1,4,9,16,0.360
0," Eva Papacsek",1,0,0,0,1.00,7,9,16,25,2,2.00,2,14.00,18.00,2,1,1,2,2,1,1.00,14.00,14.00,14.00,0,0,0,0,4.000,0.571,0.400,0,1,5,2,0.714
"","TOTALS",1,0,0,0,3.67,32,58,53,111,14,3.82,14,26.73,34.36,4,2,2,10,10,1,0.40,7.64,19.09,19.09,2,0,1,0,5.455,0.688,0.526,1,5,14,18,0.438
